"url","uniqueUsers","pageViewsTotal","totalEngagementTime","averageScroll","averageDurationPerUser","averageRFV","cumulativeRFV","totalDuration","averageDurationPerPage","averageEngagementTimePerUser","averageEngagementTimePerPage","pageViewsPerUser","discoverImpressions","googleNewsImpressions","searchImpressions","searchPosition","searchClicks","searchCTR","discoverClicks","discoverCTR","googleNewsPosition","googleNewsClicks","googleNewsCTR","searchClicksPerArticle","searchImpressionsPerArticle","discoverClicksPerArticle","discoverImpressionsPerArticle","googleNewsClicksPerArticle","googleNewsImpressionsPerArticle"
"https://www.hotnewhiphop.com/918045-teyana-taylor-air-jordan-3-a-rose-from-harlem-sneaker-news","27873","31778","805279.28","66.14","71.38","5.3","168419.9","1989687.46","62.61","28.89","25.34","1.14","369368","74","192629","13.85","4104","2.13","22622","6.12","17.35","1","1.35","4104","192629","22622","369368","1","74"
"https://www.hotnewhiphop.com/931087-air-jordan-13-he-got-game-sneaker-news-3","26859","29186","631887.49","57.57","69.81","6.53","190702.36","1874955.17","64.24","23.53","21.65","1.09","410750","450","9512","35.47","53","0.56","27439","6.68","17.38","15","3.33","53","9512","27439","410750","15","450"
"https://www.hotnewhiphop.com/959308-air-jordan-11-h-town-sneaker-news","26719","31911","748572.1","46.79","93.24","3.7","118196.96","2491173.11","78.07","28.02","23.46","1.19","1008169","425","17830","16.39","493","2.77","31614","3.14","94.3","12","2.82","493","17830","31614","1008169","12","425"
"https://www.hotnewhiphop.com/955950-air-jordan-11-gamma-blue-sneaker-news-7","25858","29875","716862.91","51.44","90.66","3.72","111142.64","2344318.4","78.47","27.72","24","1.16","571674","576","23651","8.26","83","0.35","28407","4.97","19.12","15","2.6","83","23651","28407","571674","15","576"
"https://www.hotnewhiphop.com/957810-air-jordan-4-black-cat-sneaker-news-11","25288","29440","678075.32","51.28","89.91","3.17","93438.57","2273650.67","77.23","26.81","23.03","1.16","763479","816","30876","9.62","68","0.22","29278","3.83","28.2","16","1.96","68","30876","29278","763479","16","816"
"https://www.hotnewhiphop.com/926460-air-jordan-12-bloodline-sneaker-news","23956","25908","463158.31","43.65","62.75","5","129519.72","1503164.52","58.02","19.33","17.88","1.08","261633","240","79377","5.93","11494","14.48","16435","6.28","15.54","10","4.17","11494","79377","16435","261633","10","240"
"https://www.hotnewhiphop.com/930753-air-jordan-4-black-cat-sneaker-news-6","23430","25853","584257.97","49.38","77.12","4.52","116806.23","1806870.5","69.89","24.94","22.6","1.1","479180","1646","26909","36.04","3437","12.77","23121","4.83","13.47","41","2.49","3437","26909","23121","479180","41","1646"
"https://www.hotnewhiphop.com/919920-air-jordan-11-gamma-blue-sneaker-news-5","22390","24428","453858.84","49.71","68.98","5.45","133121.59","1544421.13","63.22","20.27","18.58","1.09","351403","155","32437","10.08","4298","13.25","18914","5.38","15.32","1","0.65","4298","32437","18914","351403","1","155"
"https://www.hotnewhiphop.com/930438-air-jordan-14-black-university-blue-sneaker-news-3","22200","24615","465991.74","42.75","70.54","4.56","112304.55","1565970.39","63.62","20.99","18.93","1.11","1015235","267","6461","50.89","39","0.6","48790","4.81","15.46","12","4.49","39","6461","48790","1015235","12","267"
"https://www.hotnewhiphop.com/935018-air-jordan-5-luminous-green-sneaker-news-2","21553","23975","482877.06","56.23","69.03","5.96","142771.75","1487741.3","62.05","22.4","20.14","1.11","454018","352","5195","20.61","59","1.14","24647","5.43","14.08","1","0.28","59","5195","24647","454018","1","352"
"https://www.hotnewhiphop.com/931509-undefeated-air-jordan-4-sneaker-news","21469","25750","582683.73","55.59","93.83","5.9","151865.31","2014527.91","78.23","27.14","22.63","1.2","437573","1602","71691","12.56","3989","5.56","18512","4.23","16.23","66","4.12","3989","71691","18512","437573","66","1602"
"https://www.hotnewhiphop.com/915973-trophy-room-x-air-jordan-6-sneaker-news","20926","23278","552484.82","73.39","60.7","7.82","182115.45","1270150.43","54.56","26.4","23.73","1.11","222985","120","17530","17.72","4209","24.01","14659","6.57","13.28","3","2.5","4209","17530","14659","222985","3","120"
"https://www.hotnewhiphop.com/958375-travis-scott-x-fragment-x-air-jordan-1-low-og-sneaker-news-15","20068","27051","529923.41","49.16","89.24","4.57","123618.7","1790829.83","66.2","26.41","19.59","1.35","133183","4822","108310","4.74","7544","6.97","11111","8.34","11.46","221","4.58","7544","108310","11111","133183","221","4822"
"https://www.hotnewhiphop.com/926596-air-jordan-11-gamma-sneaker-news-2","19824","22099","512200.38","54.25","80.58","7.05","155715.07","1597378.6","72.28","25.84","23.18","1.11","294090","160","6713","43.38","34","0.51","18291","6.22","15.62","1","0.62","34","6713","18291","294090","1","160"
"https://www.hotnewhiphop.com/934213-undefeated-x-air-jordan-4-sneaker-news-14","19457","21721","460036.33","56.07","70.74","5.8","125960.6","1376313.24","63.36","23.64","21.18","1.12","184408","515","33772","11.75","364","1.08","19941","10.81","19.73","25","4.85","364","33772","19941","184408","25","515"
"https://www.hotnewhiphop.com/934370-air-jordan-4-colorways-ranked-sneaker-news","19312","22343","1168810","66.48","126.54","6.11","136575.39","2443742.39","109.37","60.52","52.31","1.16","345889","915","9952","66.68","47","0.47","20609","5.96","11.26","18","1.97","47","9952","20609","345889","18","915"
"https://www.hotnewhiphop.com/939411-best-new-air-jordan-5-releases-ranked-sneaker-news","19056","21340","807836.17","61.69","101.05","6.27","133858.54","1925679.4","90.24","42.39","37.86","1.12","352808","334","10027","54.8","20","0.2","21063","5.97","12.03","12","3.59","20","10027","21063","352808","12","334"
"https://www.hotnewhiphop.com/959346-travis-scott-x-air-jordan-1-low-og-sail-shy-pink-sneaker-news","17935","19715","370402.91","73.76","58.26","6.88","135609.82","1044980.85","53","20.65","18.79","1.1","243859","977","15772","18.99","154","0.98","17626","7.23","26.74","36","3.68","154","15772","17626","243859","36","977"
"https://www.hotnewhiphop.com/944168-travis-scott-apple-sneakers-sneaker-news","17865","19762","425008.96","70.42","64.72","11.45","226193.75","1156161.75","58.5","23.79","21.51","1.11","253363","3275","41946","8.18","190","0.45","16206","6.4","6.3","64","1.95","190","41946","16206","253363","64","3275"
"https://www.hotnewhiphop.com/960600-virgil-abloh-archive-x-air-jordan-1-high-og-alaska-sneaker-news","16949","19251","423481.98","53.93","90.01","6.69","128799.07","1525557.95","79.25","24.99","22","1.14","395886","362","5703","67.51","83","1.46","18304","4.62","42.15","8","2.21","83","5703","18304","395886","8","362"
"https://www.hotnewhiphop.com/940598-nike-snkrs-reserve-sneaker-news","16752","19568","525650.08","56.82","102.75","9.99","195576.43","1721239.15","87.96","31.38","26.86","1.17","290833","593","17969","16.28","335","1.86","16009","5.5","16.94","21","3.54","335","17969","16009","290833","21","593"
"https://www.hotnewhiphop.com/960248-air-jordan-11-gamma-blue-sneaker-news-8","16661","19298","462432.85","52.47","90.24","5.18","100047.94","1503419.85","77.91","27.76","23.96","1.16","350643","839","57052","17.94","925","1.62","17269","4.92","20.5","23","2.74","925","57052","17269","350643","23","839"
"https://www.hotnewhiphop.com/934505-air-jordan-5-og-35th-anniversary-sneaker-news-6","16328","18678","430192.04","52.23","88.09","4.25","79428.3","1438375.36","77.01","26.35","23.03","1.14","342832","254","7335","27.43","22","0.3","17982","5.25","20.64","1","0.39","22","7335","17982","342832","1","254"
"https://www.hotnewhiphop.com/936711-kanye-west-yeezy-slpr-sneaker-news","16226","18762","485609.99","56.29","91.43","13.84","259647.17","1483608.23","79.08","29.93","25.88","1.16","200847","8254","76178","9.75","552","0.72","11121","5.54","6.89","212","2.57","552","76178","11121","200847","212","8254"
"https://www.hotnewhiphop.com/924909-kobe-bryant-x-nike-air-force-1-low-white-sneaker-news-4","15748","17915","383710.65","57.69","83.43","9.16","164015.53","1313892.7","73.34","24.37","21.42","1.14","171119","163","57935","15.54","1916","3.31","12464","7.28","17.37","1","0.61","1916","57935","12464","171119","1","163"
"https://www.hotnewhiphop.com/951038-bad-bunny-x-adidas-badbo-1-0-resilience-sneaker-news","15719","17898","354220.73","73.45","72.35","7.05","126117.28","1137339.1","63.55","22.53","19.79","1.14","198691","700","22693","5.9","203","0.89","14036","7.06","11.68","18","2.57","203","22693","14036","198691","18","700"
"https://www.hotnewhiphop.com/914944-nigel-sylvester-air-jordan-4-brick-by-brick-sneaker-news","15642","17654","386630.78","48.42","87.27","8.28","146225.73","1365056.13","77.32","24.72","21.9","1.13","125664","494","59977","13.71","3277","5.46","10863","8.64","10.79","11","2.23","3277","59977","10863","125664","11","494"
"https://www.hotnewhiphop.com/956527-air-jordan-4-black-cat-sneaker-news-9","15484","17670","383706.09","52.97","85.25","5.23","92497.16","1319952.11","74.7","24.78","21.72","1.14","375525","1385","50236","8.19","1493","2.97","15489","4.12","19.59","47","3.39","1493","50236","15489","375525","47","1385"
"https://www.hotnewhiphop.com/931520-air-jordan-signature-model-ranked-1-40","15402","20456","2499863.19","60.58","278.96","7.31","149461.22","4296548.23","210.04","162.31","122.21","1.33","276942","436","10596","160.02","12","0.11","14813","5.35","18.85","10","2.29","12","10596","14813","276942","10","436"
"https://www.hotnewhiphop.com/934738-air-jordan-12-french-blue-sneaker-news-6","15371","17473","420994.28","49.11","95.16","4.27","74691.51","1462650.92","83.71","27.39","24.09","1.14","475021","417","6522","26.03","19","0.29","18606","3.92","15.85","7","1.68","19","6522","18606","475021","7","417"
"https://www.hotnewhiphop.com/960508-air-jordan-4-flight-club-sneaker-news-5","15175","17384","367796.54","48.14","75.81","6.11","106294.09","1150425.65","66.18","24.24","21.16","1.15","257583","355","11091","33.27","51","0.46","15863","6.16","68.89","4","1.13","51","11091","15863","257583","4","355"
"https://www.hotnewhiphop.com/953557-air-jordan-5-wolf-grey-sneaker-news-7","14757","16642","320132.6","46.9","80.48","4.73","78683.54","1187620.22","71.36","21.69","19.24","1.13","356879","224","5877","14.83","137","2.33","16198","4.54","29.17","6","2.68","137","5877","16198","356879","6","224"
"https://www.hotnewhiphop.com/954907-lebron-james-x-nike-air-force-1-black-patent-sneaker-news","14659","16489","382408.78","57.74","72.95","5.74","94693.98","1069330.42","64.85","26.09","23.19","1.12","360711","491","12981","11.76","334","2.57","15550","4.31","19.84","4","0.81","334","12981","15550","360711","4","491"
"https://www.hotnewhiphop.com/921688-undefeated-x-air-jordan-4-sneaker-news-10","14554","16027","396551.66","62.32","76.24","9.35","149873.43","1109549.17","69.23","27.25","24.74","1.1","184746","157","14218","23.3","2613","18.38","10679","5.78","40.7","2","1.27","2613","14218","10679","184746","2","157"
"https://www.hotnewhiphop.com/957919-air-jordan-11-mojave-sneaker-news-3","13851","15730","299651.51","56.3","74.4","5.51","86646.42","1030456.81","65.51","21.63","19.05","1.14","210004","418","41943","4.18","4487","10.7","10808","5.15","16.81","9","2.15","4487","41943","10808","210004","9","418"
"https://www.hotnewhiphop.com/960666-wale-x-nike-air-max-goadome-sneaker-news","13387","15514","414241.74","61.09","87.31","8.27","128351.63","1168799.46","75.34","30.94","26.7","1.16","206464","128","4294","33.04","41","0.95","12908","6.25","41.9","4","3.12","41","4294","12908","206464","4","128"
"https://www.hotnewhiphop.com/919924-kobe-bryant-x-nike-air-force-1-low-court-purple-sneaker-news","13081","14876","346915.14","62.4","71.05","6.47","96246.49","929403.26","62.48","26.52","23.32","1.14","233264","225","7376","45.36","52","0.7","12511","5.36","17.03","1","0.44","52","7376","12511","233264","1","225"
